Genome	Order_VC_predicted	Family_VC_predicted	Genus_VC_predicted	VC	VC Subcluster	VC Status
Microbacterium~phage~Eleri	['Caudovirales']	['Siphoviridae']	['Elerivirus', 'Ilzatvirus', 'Schubertvirus', 'Pikminvirus', 'Kojivirus', 'Neferthenavirus']	573_0	VC_573_0	Clustered
Microbacterium~phage~Fireman	['Caudovirales']	['Siphoviridae']	['Metamorphoovirus', 'Quhwahvirus']	159_0	VC_159_0	Clustered
Microbacterium~phage~Golden	['Caudovirales']	['Siphoviridae']	['Elerivirus', 'Ilzatvirus', 'Schubertvirus', 'Pikminvirus', 'Kojivirus', 'Neferthenavirus']	573_0	VC_573_0	Clustered
Microbacterium~phage~Goodman	['Caudovirales']	['Siphoviridae']	['Goodmanvirus', 'Appavirus', 'Hiyaavirus']	138_0	VC_138_0	Clustered
Microbacterium~phage~Hamlet	['Caudovirales']	['Siphoviridae']	['Elerivirus', 'Ilzatvirus', 'Schubertvirus', 'Pikminvirus', 'Kojivirus', 'Neferthenavirus']	573_0	VC_573_0	Clustered
Microbacterium~phage~Hyperion	['Caudovirales']	['Siphoviridae']	['Gillianvirus', 'Squashvirus']	158_0	VC_158_0	Clustered
Microbacterium~phage~Ilzat	['Caudovirales']	['Siphoviridae']	['Elerivirus', 'Ilzatvirus', 'Schubertvirus', 'Pikminvirus', 'Kojivirus', 'Neferthenavirus']	573_0	VC_573_0	Clustered
Microbacterium~phage~KaiHaiDragon	['Caudovirales']	['Siphoviridae']	['Metamorphoovirus', 'Quhwahvirus']	159_0	VC_159_0	Clustered
Microbacterium~phage~Koji	['Caudovirales']	['Siphoviridae']	['Elerivirus', 'Ilzatvirus', 'Schubertvirus', 'Pikminvirus', 'Kojivirus', 'Neferthenavirus']	573_0	VC_573_0	Clustered
Microbacterium~phage~Metamorphoo	['Caudovirales']	['Siphoviridae']	['Metamorphoovirus', 'Quhwahvirus']	159_0	VC_159_0	Clustered
Microbacterium~phage~Neferthena	['Caudovirales']	['Siphoviridae']	['Elerivirus', 'Ilzatvirus', 'Schubertvirus', 'Pikminvirus', 'Kojivirus', 'Neferthenavirus']	573_0	VC_573_0	Clustered
Microbacterium~phage~OneinaGillian	['Caudovirales']	['Siphoviridae']	['Gillianvirus', 'Squashvirus']	158_0	VC_158_0	Clustered
Microbacterium~phage~Paschalis	['Caudovirales']	['Siphoviridae']	['Metamorphoovirus', 'Quhwahvirus']	159_0	VC_159_0	Clustered
Microbacterium~phage~Phedro	['Caudovirales']	['Podoviridae']	Unassigned	572_0	VC_572_0	Clustered
Microbacterium~phage~Pikmin	['Caudovirales']	['Siphoviridae']	['Elerivirus', 'Ilzatvirus', 'Schubertvirus', 'Pikminvirus', 'Kojivirus', 'Neferthenavirus']	573_0	VC_573_0	Clustered
Microbacterium~phage~Quhwah	['Caudovirales']	['Siphoviridae']	['Metamorphoovirus', 'Quhwahvirus']	159_0	VC_159_0	Clustered
Microbacterium~phage~RobsFeet	['Caudovirales']	['Siphoviridae']	['Metamorphoovirus', 'Quhwahvirus']	159_0	VC_159_0	Clustered
Microbacterium~phage~Schubert	['Caudovirales']	['Siphoviridae']	['Elerivirus', 'Ilzatvirus', 'Schubertvirus', 'Pikminvirus', 'Kojivirus', 'Neferthenavirus']	573_0	VC_573_0	Clustered
Microbacterium~phage~Squash	['Caudovirales']	['Siphoviridae']	['Gillianvirus', 'Squashvirus']	158_0	VC_158_0	Clustered
Microbacterium~phage~TinyTimothy	['Caudovirales']	['Podoviridae']	Unassigned	572_0	VC_572_0	Clustered
Microbacterium~phage~Zeta1847	['Caudovirales']	['Siphoviridae']	['Manhattanvirus', 'Liebevirus', 'Yangvirus', 'Zetavirus']	148_0	VC_148_0	Clustered
Microbacterium~phage~vB_MoxS-ISF9	['Caudovirales']	['Siphoviridae']	['Cinunavirus', 'Cimpunavirus']	147_0	VC_147_0	Clustered
Microcystis~phage~MaMV-DC	['Caudovirales']	['Myoviridae']	Unassigned	574_0	VC_574_0	Clustered
Microcystis~virus~Ma-LMM01	['Caudovirales']	['Myoviridae']	Unassigned	574_0	VC_574_0	Clustered
Morganella~phage~MmP1	['Caudovirales']	['Autographiviridae', 'Podoviridae']	['Teetrevirus', 'Foetvirus', 'Berlinvirus', 'T7virus', 'Teseptimavirus', 'Elunavirus', 'Unyawovirus', 'Jarilovirus', 'Pektosvirus', 'Apdecimavirus', 'Minipunavirus']	342_0	VC_342_0	Clustered
Morganella~phage~vB_MmoP_MP2	['Caudovirales']	['Autographiviridae', 'Podoviridae']	['Teetrevirus', 'Foetvirus', 'Berlinvirus', 'T7virus', 'Teseptimavirus', 'Elunavirus', 'Unyawovirus', 'Jarilovirus', 'Pektosvirus', 'Apdecimavirus', 'Minipunavirus']	342_0	VC_342_0	Clustered
Mycobacterium~phage~20ES	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	508_1	VC_508_1	Clustered
Mycobacterium~phage~32HC	['Caudovirales']	['Siphoviridae']	['Trigintaduovirus', 'Gilesvirus']	380_0	VC_380_0	Clustered
Mycobacterium~phage~40AC	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	508_2	VC_508_2	Clustered
Mycobacterium~phage~Abrogate	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	575_0	VC_575_0	Clustered
Mycobacterium~phage~Adzzy	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	508_1	VC_508_1	Clustered
Mycobacterium~phage~Aeneas	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	575_0	VC_575_0	Clustered
Mycobacterium~phage~Alice	['Caudovirales']	['Myoviridae']	['Bixzunavirus', 'Bxz1virus']	577_0	VC_577_0	Clustered
Mycobacterium~phage~Alsfro	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	575_0	VC_575_0	Clustered
Mycobacterium~phage~Alvin	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	575_0	VC_575_0	Clustered
Mycobacterium~phage~Angel	['Caudovirales']	['Siphoviridae']	['Liefievirus']	512_0	VC_512_0	Clustered
Mycobacterium~phage~AnnaL29	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	508_1	VC_508_1	Clustered
Mycobacterium~phage~Anubis	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	509_0	VC_509_0	Clustered
Mycobacterium~phage~Apizium	['Caudovirales']	['Siphoviridae']	['Pg1virus', 'Pegunavirus']	514_0	VC_514_0	Clustered
Mycobacterium~phage~ArcherNM	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	508_1	VC_508_1	Clustered
Mycobacterium~phage~ArcherS7	['Caudovirales']	['Myoviridae']	['Bixzunavirus', 'Bxz1virus']	577_0	VC_577_0	Clustered
Mycobacterium~phage~Archie	['Caudovirales']	['Siphoviridae']	['Bronvirus']	578_0	VC_578_0	Clustered
Mycobacterium~phage~Ariel	['Caudovirales']	['Siphoviridae']	['Omegavirus']	576_3	VC_576_3	Clustered
Mycobacterium~phage~Artemis2UCLA	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	508_2	VC_508_2	Clustered
Mycobacterium~phage~Astraea	['Caudovirales']	['Myoviridae']	['Bixzunavirus', 'Bxz1virus']	577_0	VC_577_0	Clustered
Mycobacterium~phage~BTCU-1	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	509_0	VC_509_0	Clustered
Mycobacterium~phage~Bactobuster	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	508_1	VC_508_1	Clustered
Mycobacterium~phage~Badfish	['Caudovirales']	['Siphoviridae']	['Pg1virus', 'Pegunavirus']	514_0	VC_514_0	Clustered
Mycobacterium~phage~Barnyard	['Caudovirales']	['Siphoviridae']	['Barnyardvirus']	504_0	VC_504_0	Clustered
Mycobacterium~phage~BarrelRoll	['Caudovirales']	['Siphoviridae']	['Tm4virus', 'Timquatrovirus']	493_1	VC_493_1	Clustered
Mycobacterium~phage~Barriga	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	575_0	VC_575_0	Clustered
Mycobacterium~phage~BellusTerra	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	509_1	VC_509_1	Clustered
Mycobacterium~phage~Bernal13	['Caudovirales']	['Siphoviridae']	['Bernal13virus']	386_0	VC_386_0	Clustered/Singleton
Mycobacterium~phage~BigNuz	['Caudovirales']	['Siphoviridae']	['Fishburnevirus', 'Phayoncevirus', 'Bignuzvirus']	490_0	VC_490_0	Clustered
Mycobacterium~phage~Bipolar	['Caudovirales']	['Siphoviridae']	['Cheoctovirus', 'Che8virus']	486_0	VC_486_0	Clustered
Mycobacterium~phage~Blue7	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	508_2	VC_508_2	Clustered
Mycobacterium~phage~Bobi	['Caudovirales']	['Siphoviridae']	['Cheoctovirus']	486_5	VC_486_5	Clustered/Singleton
Mycobacterium~phage~Bongo	['Caudovirales']	['Siphoviridae']	['Bongovirus', 'Reyvirus']	579_0	VC_579_0	Clustered
Mycobacterium~phage~Breeniome	['Caudovirales']	['Myoviridae']	['Bixzunavirus', 'Bxz1virus']	577_0	VC_577_0	Clustered
Mycobacterium~phage~Brocalys	['Caudovirales']	['Siphoviridae']	['Cheoctovirus', 'Che8virus']	486_11	VC_486_11	Clustered
Mycobacterium~phage~Bruin	['Caudovirales']	['Siphoviridae']	['Kostyavirus', 'Cjw1virus']	580_0	VC_580_0	Clustered
Mycobacterium~phage~Brusacoram	['Caudovirales']	['Siphoviridae']	['Fishburnevirus', 'Phayoncevirus', 'Bignuzvirus']	490_0	VC_490_0	Clustered
Mycobacterium~phage~Butters	['Caudovirales']	['Siphoviridae']	['Buttersvirus', 'Charlievirus', 'Redivirus']	142_0	VC_142_0	Clustered
Mycobacterium~phage~BuzzLyseyear	['Caudovirales']	['Siphoviridae']	['Cheoctovirus', 'Che8virus']	486_7	VC_486_7	Clustered
Mycobacterium~phage~Bxz1	['Caudovirales']	['Myoviridae']	['Bixzunavirus', 'Bxz1virus']	577_0	VC_577_0	Clustered
Mycobacterium~phage~CASbig	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	575_0	VC_575_0	Clustered
Mycobacterium~phage~CRB1	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	508_1	VC_508_1	Clustered
Mycobacterium~phage~Cabrinians	['Caudovirales']	['Siphoviridae']	['Cheoctovirus', 'Che8virus']	486_11	VC_486_11	Clustered
Mycobacterium~phage~Cali	['Caudovirales']	['Myoviridae']	['Bixzunavirus', 'Bxz1virus']	577_0	VC_577_0	Clustered
Mycobacterium~phage~Cambiare	['Caudovirales']	['Siphoviridae']	['Liefievirus']	512_0	VC_512_0	Clustered
Mycobacterium~phage~CaptainTrips	['Caudovirales']	['Siphoviridae']	['Cheoctovirus', 'Che8virus']	486_11	VC_486_11	Clustered
Mycobacterium~phage~Carcharodon	['Caudovirales']	['Siphoviridae']	['Buttersvirus', 'Charlievirus', 'Redivirus']	142_0	VC_142_0	Clustered
Mycobacterium~phage~Catalina	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	508_0	VC_508_0	Clustered
Mycobacterium~phage~Catdawg	['Caudovirales']	['Siphoviridae']	['Corndogvirus']	581_0	VC_581_0	Clustered
Mycobacterium~phage~Catera	['Caudovirales']	['Myoviridae']	['Bixzunavirus', 'Bxz1virus']	577_0	VC_577_0	Clustered
Mycobacterium~phage~Cerasum	['Caudovirales']	['Siphoviridae']	['Cheoctovirus']	486_6	VC_486_6	Clustered
Mycobacterium~phage~Chadwick	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	510_1	VC_510_1	Clustered
Mycobacterium~phage~Charlie	['Caudovirales']	['Siphoviridae']	['Buttersvirus', 'Charlievirus', 'Redivirus']	142_0	VC_142_0	Clustered
Mycobacterium~phage~Cheetobro	['Caudovirales']	['Siphoviridae']	['Tm4virus', 'Timquatrovirus']	493_0	VC_493_0	Clustered
Mycobacterium~phage~Chy4	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	508_1	VC_508_1	Clustered
Mycobacterium~phage~Chy5	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	508_1	VC_508_1	Clustered
Mycobacterium~phage~CloudWang3	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	508_2	VC_508_2	Clustered
Mycobacterium~phage~Colbert	['Caudovirales']	['Siphoviridae']	['Pg1virus', 'Pegunavirus']	514_0	VC_514_0	Clustered
Mycobacterium~phage~Conspiracy	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	510_1	VC_510_1	Clustered
Mycobacterium~phage~Contagion	['Caudovirales']	['Siphoviridae']	['Kostyavirus', 'Cjw1virus']	580_0	VC_580_0	Clustered
Mycobacterium~phage~Cornie	['Caudovirales']	['Siphoviridae']	['Cheoctovirus']	486_3	VC_486_3	Clustered/Singleton
Mycobacterium~phage~Crossroads	['Caudovirales']	['Siphoviridae']	['Bronvirus']	578_0	VC_578_0	Clustered
Mycobacterium~phage~Cuke	['Caudovirales']	['Siphoviridae']	Unassigned	502_1	VC_502_1	Clustered
Mycobacterium~phage~DD5	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	575_0	VC_575_0	Clustered
Mycobacterium~phage~Daenerys	['Caudovirales']	['Siphoviridae']	['Cheoctovirus', 'Che8virus']	486_11	VC_486_11	Clustered
Mycobacterium~phage~Damien	['Caudovirales']	['Siphoviridae']	['Patiencevirus', 'Barnyardvirus']	504_1	VC_504_1	Clustered
Mycobacterium~phage~Dandelion	['Caudovirales']	['Myoviridae']	['Bixzunavirus', 'Bxz1virus']	577_0	VC_577_0	Clustered
Mycobacterium~phage~Dante	['Caudovirales']	['Siphoviridae']	['Cheoctovirus', 'Che8virus']	486_11	VC_486_11	Clustered
Mycobacterium~phage~Donovan	['Caudovirales']	['Siphoviridae']	['Fishburnevirus', 'Phayoncevirus', 'Bignuzvirus']	490_0	VC_490_0	Clustered
Mycobacterium~phage~DrDrey	['Caudovirales']	['Siphoviridae']	['Kostyavirus', 'Cjw1virus']	580_0	VC_580_0	Clustered
Mycobacterium~phage~DrLupo	['Caudovirales']	['Siphoviridae']	['Barnyardvirus']	504_0	VC_504_0	Clustered
Mycobacterium~phage~Dreamboat	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	575_0	VC_575_0	Clustered
Mycobacterium~phage~Dumbo	['Caudovirales']	['Siphoviridae']	['Kostyavirus', 'Cjw1virus']	580_0	VC_580_0	Clustered
Mycobacterium~phage~Dusk	['Caudovirales']	['Siphoviridae']	['Kostyavirus', 'Cjw1virus']	580_0	VC_580_0	Clustered
Mycobacterium~phage~Dylan	['Caudovirales']	['Siphoviridae']	['Corndogvirus']	581_0	VC_581_0	Clustered
Mycobacterium~phage~ET08	['Caudovirales']	['Myoviridae']	['Bixzunavirus', 'Bxz1virus']	577_0	VC_577_0	Clustered
Mycobacterium~phage~EagleEye	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	508_2	VC_508_2	Clustered
Mycobacterium~phage~Echild	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	508_1	VC_508_1	Clustered
Mycobacterium~phage~Edtherson	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	575_0	VC_575_0	Clustered
Mycobacterium~phage~Enkosi	['Caudovirales']	['Siphoviridae']	['Tm4virus', 'Timquatrovirus']	493_1	VC_493_1	Clustered
Mycobacterium~phage~Equemioh13	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	508_1	VC_508_1	Clustered
Mycobacterium~phage~Eremos	['Caudovirales']	['Siphoviridae']	['Pg1virus', 'Pegunavirus']	514_0	VC_514_0	Clustered
Mycobacterium~phage~Estave1	['Caudovirales']	['Siphoviridae']	['Cheoctovirus']	486_12	VC_486_12	Clustered/Singleton
Mycobacterium~phage~EvilGenius	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	508_1	VC_508_1	Clustered
Mycobacterium~phage~FF47	['Caudovirales']	['Siphoviridae']	['Ff47virus']	497_0	VC_497_0	Clustered
Mycobacterium~phage~First	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	508_1	VC_508_1	Clustered
Mycobacterium~phage~Fishburne	['Caudovirales']	['Siphoviridae']	['Fishburnevirus', 'Phayoncevirus', 'Bignuzvirus']	490_0	VC_490_0	Clustered
Mycobacterium~phage~FlagStaff	['Caudovirales']	['Siphoviridae']	['Liefievirus']	512_0	VC_512_0	Clustered
Mycobacterium~phage~Florinda	['Caudovirales']	['Siphoviridae']	['Cheoctovirus']	486_10	VC_486_10	Clustered
Mycobacterium~phage~Fowlmouth	['Caudovirales']	['Siphoviridae']	Unassigned	502_1	VC_502_1	Clustered
Mycobacterium~phage~Fredward	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	510_0	VC_510_0	Clustered
Mycobacterium~phage~Gardann	['Caudovirales']	['Siphoviridae']	['Bronvirus']	578_0	VC_578_0	Clustered
Mycobacterium~phage~Giles	['Caudovirales']	['Siphoviridae']	['Trigintaduovirus', 'Gilesvirus']	380_0	VC_380_0	Clustered
Mycobacterium~phage~Gizmo	['Caudovirales']	['Myoviridae']	['Bixzunavirus', 'Bxz1virus']	577_0	VC_577_0	Clustered
Mycobacterium~phage~Goku	['Caudovirales']	['Siphoviridae']	['Kostyavirus', 'Cjw1virus']	580_0	VC_580_0	Clustered
Mycobacterium~phage~Gompeii16	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	575_0	VC_575_0	Clustered
Mycobacterium~phage~Graduation	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	575_0	VC_575_0	Clustered
Mycobacterium~phage~Gumball	['Caudovirales']	['Siphoviridae']	['Hawkeyevirus', 'Plotvirus', 'Pbi1virus']	503_0	VC_503_0	Clustered
Mycobacterium~phage~HINdeR	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	509_1	VC_509_1	Clustered
Mycobacterium~phage~Hades	['Caudovirales']	['Siphoviridae']	['Cheoctovirus', 'Che8virus']	486_11	VC_486_11	Clustered
Mycobacterium~phage~Hamulus	['Caudovirales']	['Siphoviridae']	['Cheoctovirus', 'Che8virus']	486_11	VC_486_11	Clustered
Mycobacterium~phage~HanShotFirst	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	575_0	VC_575_0	Clustered
Mycobacterium~phage~Hawkeye	['Caudovirales']	['Siphoviridae']	['Hawkeyevirus', 'Plotvirus', 'Pbi1virus']	503_0	VC_503_0	Clustered
Mycobacterium~phage~HufflyPuff	['Caudovirales']	['Siphoviridae']	['Kostyavirus', 'Cjw1virus']	580_0	VC_580_0	Clustered
Mycobacterium~phage~HyRo	['Caudovirales']	['Myoviridae']	['Bixzunavirus', 'Bxz1virus']	577_0	VC_577_0	Clustered
Mycobacterium~phage~Indlulamithi	['Caudovirales']	['Siphoviridae']	Unassigned	502_1	VC_502_1	Clustered
Mycobacterium~phage~Inventum	['Caudovirales']	['Siphoviridae']	['Cheoctovirus', 'Che8virus']	486_11	VC_486_11	Clustered
Mycobacterium~phage~Iracema64	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	509_1	VC_509_1	Clustered
Mycobacterium~phage~JacAttac	['Caudovirales']	['Siphoviridae']	['Pg1virus', 'Pegunavirus']	514_0	VC_514_0	Clustered
Mycobacterium~phage~Jebeks	['Caudovirales']	['Siphoviridae']	['Fishburnevirus', 'Phayoncevirus', 'Bignuzvirus']	490_0	VC_490_0	Clustered
Mycobacterium~phage~Job42	['Caudovirales']	['Siphoviridae']	['Cheoctovirus', 'Che8virus']	486_7	VC_486_7	Clustered
Mycobacterium~phage~Jobu08	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	509_0	VC_509_0	Clustered
Mycobacterium~phage~Jolie2	['Caudovirales']	['Siphoviridae']	['Liefievirus']	512_0	VC_512_0	Clustered
Mycobacterium~phage~Jovo	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	510_1	VC_510_1	Clustered
Mycobacterium~phage~Kampy	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	509_1	VC_509_1	Clustered
Mycobacterium~phage~Keshu	['Caudovirales']	['Siphoviridae']	['Tm4virus', 'Timquatrovirus']	493_1	VC_493_1	Clustered
Mycobacterium~phage~Kikipoo	['Caudovirales']	['Siphoviridae']	['Pg1virus', 'Pegunavirus']	514_0	VC_514_0	Clustered
Mycobacterium~phage~Kimberlium	['Caudovirales']	['Siphoviridae']	['Cheoctovirus', 'Che8virus']	486_7	VC_486_7	Clustered
Mycobacterium~phage~Konstantine	['Caudovirales']	['Siphoviridae']	['Patiencevirus', 'Barnyardvirus']	504_1	VC_504_1	Clustered
Mycobacterium~phage~LadyBird	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	508_1	VC_508_1	Clustered
Mycobacterium~phage~Lamina13	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	575_0	VC_575_0	Clustered
Mycobacterium~phage~Larenn	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	508_1	VC_508_1	Clustered
Mycobacterium~phage~Leo	['Caudovirales']	['Siphoviridae']	['Liefievirus']	512_0	VC_512_0	Clustered
Mycobacterium~phage~Lilac	['Caudovirales']	['Siphoviridae']	['Kostyavirus', 'Cjw1virus']	580_0	VC_580_0	Clustered
Mycobacterium~phage~LinStu	['Caudovirales']	['Myoviridae']	['Bixzunavirus', 'Bxz1virus']	577_0	VC_577_0	Clustered
Mycobacterium~phage~LittleCherry	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	510_1	VC_510_1	Clustered
Mycobacterium~phage~Llama	['Caudovirales']	['Siphoviridae']	['Cheoctovirus', 'Che8virus']	486_9	VC_486_9	Clustered
Mycobacterium~phage~Llij	['Caudovirales']	['Siphoviridae']	['Cheoctovirus', 'Che8virus']	486_11	VC_486_11	Clustered
Mycobacterium~phage~Lolly9	['Caudovirales']	['Siphoviridae']	['Bronvirus']	578_0	VC_578_0	Clustered
Mycobacterium~phage~Loser	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	508_1	VC_508_1	Clustered
Mycobacterium~phage~Luchador	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	508_1	VC_508_1	Clustered
Mycobacterium~phage~Lukilu	['Caudovirales']	['Myoviridae']	['Bixzunavirus', 'Bxz1virus']	577_0	VC_577_0	Clustered
Mycobacterium~phage~MOOREtheMARYer	['Caudovirales']	['Siphoviridae']	['Liefievirus']	512_0	VC_512_0	Clustered
Mycobacterium~phage~Makemake	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	575_0	VC_575_0	Clustered
Mycobacterium~phage~Malithi	['Caudovirales']	['Siphoviridae']	['Fishburnevirus', 'Phayoncevirus', 'Bignuzvirus']	490_0	VC_490_0	Clustered
Mycobacterium~phage~Manad	['Caudovirales']	['Siphoviridae']	['Pg1virus', 'Pegunavirus']	514_0	VC_514_0	Clustered
Mycobacterium~phage~MarQuardt	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	509_0	VC_509_0	Clustered
Mycobacterium~phage~Marvin	['Caudovirales']	['Siphoviridae']	['Marvinvirus']	487_0	VC_487_0	Clustered
Mycobacterium~phage~MiaZeal	['Caudovirales']	['Siphoviridae']	['Omegavirus']	576_3	VC_576_3	Clustered
Mycobacterium~phage~MichelleMyBell	['Caudovirales']	['Siphoviridae']	['Buttersvirus', 'Charlievirus', 'Redivirus']	142_0	VC_142_0	Clustered
Mycobacterium~phage~Milly	['Caudovirales']	['Siphoviridae']	['Tm4virus', 'Timquatrovirus']	493_1	VC_493_1	Clustered
Mycobacterium~phage~Mindy	['Caudovirales']	['Siphoviridae']	['Kostyavirus', 'Cjw1virus']	580_0	VC_580_0	Clustered
Mycobacterium~phage~Minerva	['Caudovirales']	['Siphoviridae']	['Omegavirus']	576_0	VC_576_0	Clustered
Mycobacterium~phage~MoMoMixon	['Caudovirales']	['Myoviridae']	['Bixzunavirus', 'Bxz1virus']	577_0	VC_577_0	Clustered
Mycobacterium~phage~MosMoris	['Caudovirales']	['Siphoviridae']	['Marvinvirus']	487_0	VC_487_0	Clustered
Mycobacterium~phage~Muddy	['Caudovirales']	['Siphoviridae']	['Ff47virus']	497_0	VC_497_0	Clustered
Mycobacterium~phage~Mufasa	['Caudovirales']	['Siphoviridae']	['Tm4virus', 'Timquatrovirus']	493_1	VC_493_1	Clustered
Mycobacterium~phage~Mulciber	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	508_1	VC_508_1	Clustered
Mycobacterium~phage~Murphy	['Caudovirales']	['Siphoviridae']	['Kostyavirus', 'Cjw1virus']	580_0	VC_580_0	Clustered
Mycobacterium~phage~Murucutumbu	['Caudovirales']	['Siphoviridae']	['Tm4virus', 'Timquatrovirus']	493_1	VC_493_1	Clustered
Mycobacterium~phage~Myrna	['Caudovirales']	['Myoviridae']	Unassigned	577_1	VC_577_1	Clustered/Singleton
Mycobacterium~phage~Nala	['Caudovirales']	['Siphoviridae']	['Kostyavirus', 'Cjw1virus']	580_0	VC_580_0	Clustered
Mycobacterium~phage~Nappy	['Caudovirales']	['Myoviridae']	['Bixzunavirus', 'Bxz1virus']	577_0	VC_577_0	Clustered
Mycobacterium~phage~NelitzaMV	['Caudovirales']	['Siphoviridae']	['Kostyavirus', 'Cjw1virus']	580_0	VC_580_0	Clustered
Mycobacterium~phage~Nerujay	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	575_0	VC_575_0	Clustered
Mycobacterium~phage~Newman	['Caudovirales']	['Siphoviridae']	['Pg1virus', 'Pegunavirus']	514_0	VC_514_0	Clustered
Mycobacterium~phage~Nhonho	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	575_0	VC_575_0	Clustered
Mycobacterium~phage~Nyxis	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	509_1	VC_509_1	Clustered
Mycobacterium~phage~OSmaximus	['Caudovirales']	['Siphoviridae']	['Pg1virus', 'Pegunavirus']	514_0	VC_514_0	Clustered
Mycobacterium~phage~Oaker	['Caudovirales']	['Siphoviridae']	['Patiencevirus', 'Barnyardvirus']	504_1	VC_504_1	Clustered
Mycobacterium~phage~Obama12	['Caudovirales']	['Siphoviridae']	['L5virus', 'Fromanvirus']	509_1	VC_509_1	Clustered
Mycobacterium~phage~Oline	['Caudovirales']	['Siphoviridae']	['Pg1virus', 'Pegunavirus']	514_0	VC_514_0	Clustered
Mycobacterium~phage~Orion	['Caudovirales']	['Siphoviridae']	['Pg1virus', 'Pegunavirus']	514_0	VC_514_0	Clustered
Mycobacterium~phage~Ovechkin	['Caudovirales']	['Siphoviridae']	['Cheoctovirus', 'Che8virus']	486_11	VC_486_11	Clustered
Mycobacterium~phage~PBI1	['Caudovirales']	['Siphoviridae']	['Hawkeyevirus', 'Plotvirus', 'Pbi1virus']	503_0	VC_503_0	Clustered
Mycobacterium~phage~PG1	['Caudovirales']	['Siphoviridae']	['Pg1virus', 'Pegunavirus']	514_0	VC_514_0	Clustered
Mycobacterium~phage~PLot	['Caudovirales']	['Siphoviridae']	['Hawkeyevirus', 'Plotvirus', 'Pbi1virus']	503_0	VC_503_0	Clustered
